,131767
ལ,33149
དང,30466
ཀྱི,21982
ནས,21401
འི,20831
དེ,20090
རེད,19017
གི,17887
ས,15873
ཞིག,14395
དུ,14248
གྱི,12862
ཡོད,12062
ར,11469
ནི,7317
ད,7112
ཡིན,7072
ན,7009
སུ,6371
བྱས,6348
འདུག,5744
ཀྱིས,5669
གིས,5595
ཡོད་པ,5289
ང,5274
ཡང,5060
ནང,5005
ཅིག,4911
ལས,4730
ཏེ,4621
དགོས,4602
འདི,4579
སོགས,4433
བྱེད,4140
གཅིག,3959
ཀྱང,3840
ཞེས,3806
བོད,3677
དེ་འདྲ,3625
གྱིས,3554
གཉིས,3551
ཏུ,3487
ཁོ,3351
ཡི,3334
ང་ཚོ,3272
ཨ་ནི,3270
མི,3125
ཟེར,2944
བཤད,2784
རྣམས,2712
སོང,2647
འགྲོ,2635
ཡིན་ན,2614
དེ་ནས,2598
མང་པོ,2465
ག་རེ,2304
ཞིང,2301
རང,2285
རྗེས,2241
ལབ,2235
ཡོང,2222
སྟེ,2183
རྒྱུ,2157
ཁྱོད,2155
མ་རེད,2129
སྐབས,2103
དེ་ཚོ,2075
དུས,2073
ཅེས,2066
རིག་གནས,2045
ཆེན་པོ,2025
བྱུང,2006
རེད་པ,1980
བུ་མོ,1963
བཞིན,1885
ཡིན་པ,1850
ཤིག,1809
ཡག་པོ,1766
བསྡད,1762
དེའི,1749
ཤིང,1708
བཅས,1677
ག,1669
སྐོར,1616
ཁོང,1605
ལྟར,1569
བར,1537
འོ,1525
ལོ་རྒྱུས,1525
ཅིང,1524
འདྲ་པོ,1515
སྟེང,1499
མི་རིགས,1463
ཚང་མ,1455
གསུམ,1421
མེད་པ,1409
ཙམ,1407
གཞན,1395
མེད,1361
བྱས་པ,1356
དེ་དག,1271
གང,1269
ཐུབ,1264
ལགས,1259
ལོ,1258
ཁྱེད,1251
སོ་སོ,1235
དག,1224
ཁྱེད་རང,1200
སྤྱི་ཚོགས,1196
རྒྱལ་པོ,1195
བཏང,1193
བཞག,1186
ད་ལྟ,1163
མ་ཟད,1156
དགོས་པ,1147
ཐོག,1147
ཆགས,1141
ཡ,1139
རིགས,1133
གནང,1122
འདྲ་བོ,1110
ཕྱིར,1084
བྱེད་པ,1083
མི་འདུག,1079
ཉིན,1065
ཁྲོད,1060
དངོས་གནས,1045
བྱ,1044
དང་པོ,1017
ཕྱོགས,1009
ད་དུང,988
གྱུར,986
དོན,983
འདྲ,972
མཐོང,971
བྱུང་བ,969
ཧ་ཅང,963
སེམས,957
ཆུང་ཆུང,956
སླེབས,952
རུ,937
གཏོང,914
ཤེས,912
བོད་ལྗོངས,906
སྐད་ཆ,904
རང་ཉིད,897
འང,889
སློབ་སྦྱོང,878
ཕྱིན,876
ཨ་མ,860
རྒྱལ་ཁབ,858
ཡུལ,854
རེད་བ,844
ཁོ་རང,842
བཤད་པ,837
ཁ་ཤས,836
བུ,835
གནས,827
བཟུང,818
གཙོ་བོ,812
ཁོ་ཚོ,809
ངས,804
མིང,798
མ་གཏོགས,790
ཡིས,789
འདིའི,788
ངང,785
ཆོས,781
ལས་ཀ,772
ཚོ,771
ཁ,758
བསམ,757
བསམ་བློ,755
ལྷག,751
ཚེ,750
སྤྱིར་བཏང,750
དགེ་རྒན,749
བརྒྱབ,747
ཆུ,741
སྙམ,738
རིང,737
ཨ་ལེ,736
ཆོས་ལུགས,735
འགྲིག,733
ཐད,732
དེ་ལྟར,725
ཡོངས,724
མོ,719
ཞིབ་འཇུག,718
དེ་ནི,717
བྱེད་པའི,707
ཟེར་བ,707
དེར,705
མར,702
རྒན་ལགས,700
ཡིན་པས,697
ཞེས་པ,694
ཚེས,692
རོགས,687
ཐོན,686
སྐད,685
གནས་ཚུལ,684
སྙན་ངག,684
དེ་རིང,677
རེ,676
སློབ་གསོ,673
དེས,673
ཆོག,672
བླ་མ,672
ཡར,671
ཤིན་ཏུ,668
སྒང,662
དེ་ཡང,661
འཛིན་གྲྭ,660
ཁག,660
རྩོམ་རིག,660
འཕེལ་རྒྱས,654
ཡོད་པའི,651
ཁོང་ཚོ,647
རང་བཞིན,644
ཆེ,643
སློབ་གྲྭ,635
བརྟེན,633
འདིར,629
དང༌,628
འདོད,623
མཉམ,615
ལོར,613
བོད་ཡིག,613
ཡོད་ན,613
བཟོ,613
ཁོར་ཡུག,612
ང་རང,611
ཐམས་ཅད,609
སྒོ,609
ཉི་མ,608
གོང,607
མང,604
མ,603
སྒྱུ་རྩལ,590
ཏོག་ཙམ,583
ཡིན་ན་ཡང,575
འཚོ་བ,574
བྱ་བ,574
འོག,574
སློབ་མ,573
སྔོན,572
ལྟ་བུ,570
ཚར,570
རྣམ་པ,568
རྒྱལ་སྲས,566
ལམ,566
ཁྱིམ,562
འོན་ཀྱང,561
ཡོང་བ,552
དངོས,550
གསུངས,548
ཆེད,541
བརྒྱུད,540
མོད,538
ཞེས་པའི,537
འཛམ་གླིང,534
དགོན་པ,533
ཐེངས,529
ཡོད་པས,527
ཆེས,526
ཟླ,526
རེད་ད,524
ཕར,524
སངས་རྒྱས,522
མགོ,520
ཆེ་བ,519
དབང,518
ཐུབ་པ,517
ཅི,517
ཕྲུ་གུ,515
སོ,514
མིན,509
ལོའི,509
བཞི,506
འདི་འདྲ,501
བལྟས,500
རྒྱ་གར,499
བྱས་པའི,498
དཔེར་ན,498
ག་འདྲ,497
ངེས,496
སྐད་ཡིག,495
རྒྱག,494
རྒྱུ་མཚན,493
ནམ་རྒྱུན,493
སྲུང་སྐྱོབ,490
སོང་བ,486
ནུས་པ,485
འཁྱེར,485
སྣ་ཚོགས,483
མཚོ་སྔོན,481
ལོག,479
པར,478
བཟོས,476
རི་བོང,476
དེང་སང,472
ཀུན,472
ཁྱད་ཆོས,470
ཟས,465
དྲིས,465
ཞུ,465
