ཀ་ཀོ་ལའི,ཀ་ཀོ་ལ
ཀ་ཁའི,ཀ་ཁ
ཀ་པའི,ཀ་པ
ཀ་པས,ཀ་པ
ཀ་བའི,ཀ་བ
ཀུ་བའི,ཀུ་བ
ཀུ་མཱ་རའི,ཀུ་མཱ་ར
ཀུན་དགའི,ཀུན་དགའ
ཀོ་བའི,ཀོ་བ
ཀོ་དམར,ཀོ་དམ
ཀླད་པའི,ཀླད་པ
ཀླད་པར,ཀླད་པ
ཀློག་པའི,ཀློག་པ
ཀློག་པར,ཀློག་པ
དཀའ་བའི,དཀའ་བ
དཀའ་བར,དཀའ་བ
དཀའ་བས,དཀའ་བ
དཀར་སྐྱར,དཀར་སྐྱ
དཀར་ཆའི,དཀར་ཆ
དཀར་ཆས,དཀར་ཆ
དཀར་བའི,དཀར་བ
དཀར་བར,དཀར་བ
དཀར་ཤས,དཀར་ཤ
དཀྱིལ་མའི,དཀྱིལ་མ
དཀྱུས་མའི,དཀྱུས་མ
བཀབ་པའི,བཀབ་པ
བཀབ་པར,བཀབ་པ
བཀར་བའི,བཀར་བ
བཀར་བར,བཀར་བ
བཀལ་བའི,བཀལ་བ
བཀུར་བའི,བཀུར་བ
བཀུར་བར,བཀུར་བ
བཀོད་པའི,བཀོད་པ
བཀོད་པར,བཀོད་པ
བཀོད་པས,བཀོད་པ
བཀོལ་བའི,བཀོལ་བ
བཀྱེ་བའི,བཀྱེ་བ
བཀྲ་བའི,བཀྲ་བ
བཀྲ་བར,བཀྲ་བ
བཀྲ་ཤིས་པའི,བཀྲ་ཤིས་པ
བཀྲ་ཤིས་པར,བཀྲ་ཤིས་པ
བཀྲ་ཤིས་མས,བཀྲ་ཤིས་མ
བཀྲམ་པའི,བཀྲམ་པ
བཀྲམ་པས,བཀྲམ་པ
བཀྲལ་བའི,བཀྲལ་བ
བཀྲལ་བར,བཀྲལ་བ
བཀྲུས་པའི,བཀྲུས་པ
བཀྲོལ་བར,བཀྲོལ་བ
བཀླགས་པའི,བཀླགས་པ
བཀླགས་པར,བཀླགས་པ
བཀླགས་པས,བཀླགས་པ
བཀླུབས་པའི,བཀླུབས་པ
རྐང་པའི,རྐང་པ
རྐང་པར,རྐང་པ
རྐང་པས,རྐང་པ
རྐུན་མའི,རྐུན་མ
རྐུན་མས,རྐུན་མ
རྐེད་པའི,རྐེད་པ
རྐེད་པར,རྐེད་པ
རྐོ་མའི,རྐོ་མ
རྐྱང་པའི,རྐྱང་པ
རྐྱང་པར,རྐྱང་པ
རྐྱང་པས,རྐྱང་པ
རྐྱང་མའི,རྐྱང་མ
རྐྱལ་བའི,རྐྱལ་བ
ལྐུག་པར,ལྐུག་པ
ལྐུགས་པའི,ལྐུགས་པ
སྐད་ཅིག་མའི,སྐད་ཅིག་མ
སྐད་ཅིག་མར,སྐད་ཅིག་མ
སྐད་ཆའི,སྐད་ཆ
སྐད་ཆར,སྐད་ཆ
སྐད་ཆས,སྐད་ཆ
སྐད་བརྡའི,སྐད་བརྡ
སྐད་བརྡར,སྐད་བརྡ
སྐད་པའི,སྐད་པ
སྐམ་པའི,སྐམ་པ
སྐམ་པར,སྐམ་པ
སྐམ་སའི,སྐམ་ས
སྐམ་སར,སྐམ་ས
སྐར་ལྔའི,སྐར་ལྔ
སྐར་ཆའི,སྐར་ཆ
སྐར་མའི,སྐར་མ
སྐུ་འདྲའི,སྐུ་འདྲ
སྐུང་བའི,སྐུང་བ
སྐུད་པའི,སྐུད་པ
སྐུད་པས,སྐུད་པ
སྐུར་བའི,སྐུར་བ
སྐུལ་བའི,སྐུལ་བ
སྐུལ་མར,སྐུལ་མ
སྐེད་པའི,སྐེད་པ
སྐེད་པར,སྐེད་པ
སྐོང་བར,སྐོང་བ
སྐོམ་པས,སྐོམ་པ
སྐོར་བའི,སྐོར་བ
སྐོར་བར,སྐོར་བ
སྐྱ་བའི,སྐྱ་བ
སྐྱག་པའི,སྐྱག་པ
སྐྱིད་པའི,སྐྱིད་པ
སྐྱིད་པར,སྐྱིད་པ
སྐྱུག་བྲོ་བའི,སྐྱུག་བྲོ་བ
སྐྱུར་བའི,སྐྱུར་བ
སྐྱེ་བ་ཕྱི་མའི,སྐྱེ་བ་ཕྱི་མ
སྐྱེ་བའི,སྐྱེ་བ
སྐྱེ་བར,སྐྱེ་བ
སྐྱེ་སའི,སྐྱེ་ས
སྐྱེད་པའི,སྐྱེད་པ
སྐྱེད་པར,སྐྱེད་པ
སྐྱེན་པར,སྐྱེན་པ
སྐྱེལ་བའི,སྐྱེལ་བ
སྐྱེལ་བར,སྐྱེལ་བ
སྐྱེལ་བས,སྐྱེལ་བ
སྐྱེལ་མའི,སྐྱེལ་མ
སྐྱེས་པའི,སྐྱེས་པ
སྐྱེས་པར,སྐྱེས་པ
སྐྱེས་པས,སྐྱེས་པ
སྐྱེས་མའི,སྐྱེས་མ
སྐྱོ་བའི,སྐྱོ་བ
སྐྱོ་བར,སྐྱོ་བ
སྐྱོ་བས,སྐྱོ་བ
སྐྱོ་མར,སྐྱོ་མ
སྐྱོང་བའི,སྐྱོང་བ
སྐྱོང་བར,སྐྱོང་བ
སྐྱོང་བས,སྐྱོང་བ
སྐྱོད་པའི,སྐྱོད་པ
སྐྱོན་པའི,སྐྱོན་པ
སྐྱོབ་པའི,སྐྱོབ་པ
སྐྱོབ་པར,སྐྱོབ་པ
སྐྱོབ་པས,སྐྱོབ་པ
སྐྱོམ་པར,སྐྱོམ་པ
སྐྲག་པའི,སྐྲག་པ
སྐྲུན་པར,སྐྲུན་པ
བརྐུས་པའི,བརྐུས་པ
བརྐོ་བའི,བརྐོ་བ
